Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,0.80,0.80,0.79,0.80,420300,0.80
2014-01-23,0.80,0.80,0.80,0.80,17700,0.80
2014-01-22,0.80,0.80,0.80,0.80,243500,0.80
2014-01-21,0.80,0.80,0.80,0.80,436200,0.80
2014-01-20,0.81,0.81,0.80,0.80,41700,0.80
2014-01-17,0.80,0.81,0.80,0.81,292600,0.81
2014-01-16,0.80,0.81,0.80,0.80,449000,0.80
2014-01-15,0.80,0.80,0.79,0.80,1054500,0.80
2014-01-13,0.81,0.81,0.80,0.80,163200,0.80
2014-01-10,0.81,0.81,0.80,0.81,80600,0.81
2014-01-09,0.78,0.81,0.78,0.80,1009500,0.80
2014-01-08,0.77,0.78,0.76,0.78,234800,0.78
2014-01-07,0.76,0.77,0.76,0.77,253700,0.77
2014-01-06,0.77,0.77,0.75,0.76,127200,0.76
2014-01-03,0.76,0.77,0.75,0.77,87300,0.77
2014-01-02,0.77,0.77,0.75,0.76,205000,0.76
2014-01-01,0.76,0.76,0.76,0.76,000,0.76
2013-12-31,0.77,0.77,0.76,0.76,18900,0.76
2013-12-30,0.76,0.77,0.76,0.77,202100,0.77
2013-12-27,0.77,0.77,0.76,0.76,10100,0.76
2013-12-26,0.77,0.77,0.77,0.77,000,0.77
2013-12-25,0.77,0.77,0.77,0.77,000,0.77
2013-12-24,0.75,0.77,0.75,0.77,7300,0.77
2013-12-23,0.78,0.78,0.75,0.75,87700,0.75
2013-12-20,0.76,0.79,0.75,0.78,415800,0.78
2013-12-19,0.79,0.79,0.73,0.76,299400,0.76
2013-12-18,0.76,0.79,0.76,0.79,129800,0.79
2013-12-17,0.76,0.77,0.76,0.77,999700,0.77
2013-12-16,0.75,0.76,0.75,0.76,65300,0.76
2013-12-13,0.76,0.76,0.76,0.76,159900,0.76
2013-12-12,0.74,0.76,0.74,0.76,200700,0.76
2013-12-11,0.73,0.75,0.73,0.75,250500,0.75
2013-12-10,0.73,0.75,0.71,0.73,709000,0.73
2013-12-09,0.75,0.76,0.72,0.74,742300,0.74
2013-12-06,0.76,0.77,0.75,0.77,263800,0.77
2013-12-05,0.79,0.80,0.76,0.78,456200,0.78
2013-12-04,0.79,0.80,0.79,0.79,343500,0.79
2013-12-03,0.80,0.80,0.79,0.79,338200,0.79
2013-12-02,0.81,0.81,0.78,0.80,549200,0.80
2013-11-29,0.80,0.81,0.78,0.81,637200,0.81
2013-11-28,0.81,0.82,0.75,0.80,1031100,0.80
2013-11-27,0.83,0.84,0.81,0.83,253300,0.83
2013-11-26,0.84,0.84,0.83,0.83,151800,0.83
2013-11-25,0.85,0.85,0.84,0.84,687500,0.84
2013-11-22,0.84,0.85,0.83,0.84,666400,0.84
2013-11-21,0.84,0.85,0.82,0.84,265100,0.84
2013-11-20,0.84,0.85,0.83,0.83,496500,0.83
2013-11-19,0.84,0.85,0.83,0.83,625600,0.83
2013-11-18,0.85,0.86,0.85,0.85,1145300,0.85
2013-11-15,0.85,0.85,0.84,0.85,1562100,0.85
2013-11-14,0.85,0.85,0.83,0.84,1126300,0.84
2013-11-13,0.83,0.84,0.82,0.83,712000,0.83
2013-11-12,0.85,0.85,0.82,0.82,371400,0.82
2013-11-11,0.85,0.85,0.84,0.85,410300,0.85
2013-11-08,0.85,0.85,0.84,0.85,1830200,0.85
2013-11-07,0.85,0.85,0.84,0.85,528300,0.85
2013-11-06,0.85,0.85,0.84,0.85,270800,0.85
2013-11-05,0.85,0.85,0.84,0.85,438700,0.85
2013-11-04,0.85,0.85,0.84,0.84,356600,0.84
2013-11-01,0.83,0.84,0.82,0.84,1654700,0.84
2013-10-31,0.84,0.85,0.82,0.83,374800,0.83
2013-10-30,0.81,0.85,0.81,0.84,202100,0.84
2013-10-29,0.81,0.81,0.81,0.81,290000,0.81
2013-10-28,0.86,0.86,0.81,0.83,698500,0.83
2013-10-25,0.86,0.88,0.85,0.86,1186500,0.86
2013-10-24,0.86,0.86,0.86,0.86,228100,0.86
2013-10-23,0.86,0.86,0.85,0.85,431900,0.85
2013-10-22,0.86,0.86,0.84,0.85,384900,0.85
2013-10-21,0.85,0.86,0.85,0.86,379600,0.86
2013-10-18,0.83,0.85,0.82,0.85,177500,0.85
2013-10-17,0.81,0.83,0.80,0.82,439900,0.82
2013-10-16,0.81,0.82,0.80,0.80,359600,0.80
2013-10-15,0.83,0.83,0.81,0.82,306000,0.82
2013-10-14,0.85,0.85,0.82,0.82,309300,0.82
2013-10-11,0.85,0.87,0.85,0.86,428200,0.86
2013-10-10,0.84,0.85,0.83,0.83,153300,0.83
2013-10-09,0.81,0.86,0.81,0.84,210100,0.84
2013-10-08,0.85,0.85,0.81,0.82,657400,0.82
2013-10-07,0.88,0.88,0.85,0.85,448100,0.85
2013-10-04,0.86,0.88,0.86,0.87,570100,0.87
2013-10-03,0.88,0.88,0.85,0.86,365100,0.86
2013-10-02,0.87,0.88,0.86,0.88,895000,0.88
2013-10-01,0.84,0.87,0.83,0.87,1362600,0.87
2013-09-30,0.80,0.82,0.80,0.81,150400,0.81
2013-09-27,0.85,0.85,0.80,0.80,563500,0.80
2013-09-26,0.87,0.87,0.84,0.85,247900,0.85
2013-09-25,0.82,0.87,0.81,0.87,1023700,0.87
2013-09-24,0.81,0.82,0.80,0.82,614100,0.82
2013-09-23,0.80,0.81,0.79,0.80,1149500,0.80
2013-09-20,0.76,0.79,0.76,0.78,847900,0.78
2013-09-19,0.74,0.77,0.74,0.76,377400,0.76
2013-09-18,0.76,0.76,0.72,0.72,127900,0.72
2013-09-17,0.75,0.76,0.72,0.75,2522000,0.75
2013-09-16,0.75,0.77,0.74,0.77,688900,0.77
2013-09-13,0.75,0.76,0.74,0.74,228600,0.74
2013-09-12,0.75,0.76,0.75,0.75,125900,0.75
2013-09-11,0.75,0.76,0.74,0.74,272800,0.74
2013-09-10,0.75,0.76,0.75,0.75,305200,0.75
2013-09-09,0.71,0.76,0.71,0.74,755300,0.74
2013-09-06,0.71,0.72,0.70,0.71,179400,0.71
2013-09-05,0.71,0.71,0.70,0.70,178200,0.70
2013-09-04,0.72,0.72,0.70,0.70,149800,0.70
2013-09-03,0.73,0.73,0.71,0.71,139400,0.71
2013-09-02,0.74,0.74,0.71,0.71,164800,0.71
2013-08-30,0.75,0.75,0.73,0.73,196500,0.73
2013-08-29,0.73,0.75,0.73,0.75,255300,0.75
2013-08-28,0.75,0.75,0.73,0.73,124100,0.73
2013-08-27,0.76,0.78,0.75,0.76,312800,0.76
2013-08-26,0.73,0.80,0.72,0.75,989300,0.75
2013-08-23,0.69,0.74,0.69,0.71,553800,0.70
2013-08-22,0.69,0.69,0.69,0.69,650200,0.68
2013-08-21,0.69,0.69,0.69,0.69,4360900,0.68
2013-08-20,0.69,0.69,0.67,0.69,255300,0.68
2013-08-19,0.68,0.70,0.67,0.69,468100,0.68
2013-08-16,0.66,0.68,0.66,0.68,129800,0.67
2013-08-15,0.65,0.67,0.65,0.67,247100,0.66
2013-08-14,0.64,0.65,0.64,0.65,233800,0.64
2013-08-13,0.65,0.65,0.63,0.64,47300,0.63
2013-08-12,0.64,0.65,0.63,0.64,88200,0.64
2013-08-09,0.65,0.65,0.64,0.64,2286300,0.63
2013-08-08,0.64,0.65,0.64,0.65,103600,0.64
2013-08-07,0.63,0.66,0.62,0.65,705700,0.64
2013-08-06,0.60,0.65,0.60,0.62,842300,0.62
2013-08-05,0.58,0.60,0.58,0.60,107000,0.59
2013-08-02,0.59,0.60,0.58,0.58,95500,0.58
2013-08-01,0.57,0.59,0.57,0.58,137400,0.58
2013-07-31,0.58,0.58,0.58,0.58,460100,0.57
2013-07-30,0.58,0.59,0.58,0.58,86700,0.57
2013-07-29,0.58,0.58,0.57,0.58,103200,0.57
2013-07-26,0.58,0.60,0.58,0.59,142500,0.58
2013-07-25,0.58,0.58,0.58,0.58,27100,0.57
2013-07-24,0.57,0.58,0.57,0.58,73600,0.58
2013-07-23,0.60,0.60,0.57,0.57,113200,0.57
2013-07-22,0.60,0.60,0.58,0.60,94100,0.59
2013-07-19,0.58,0.61,0.58,0.59,31500,0.58
2013-07-18,0.58,0.58,0.58,0.58,99600,0.57
2013-07-17,0.59,0.59,0.58,0.59,109200,0.58
2013-07-16,0.60,0.61,0.59,0.59,168400,0.58
2013-07-15,0.60,0.62,0.60,0.61,112900,0.60
2013-07-12,0.62,0.62,0.60,0.62,92900,0.61
2013-07-11,0.62,0.63,0.62,0.62,51100,0.61
2013-07-10,0.62,0.63,0.60,0.62,109900,0.61
2013-07-09,0.60,0.63,0.60,0.62,187000,0.61
2013-07-08,0.61,0.61,0.60,0.60,31900,0.59
2013-07-05,0.58,0.61,0.58,0.61,64800,0.60
2013-07-04,0.59,0.60,0.58,0.58,175600,0.58
2013-07-03,0.60,0.60,0.59,0.60,28700,0.59
2013-07-02,0.60,0.60,0.57,0.60,189900,0.59
2013-07-01,0.60,0.60,0.59,0.60,105800,0.59
2013-06-28,0.62,0.62,0.60,0.60,47500,0.59
2013-06-27,0.61,0.62,0.59,0.61,124400,0.60
2013-06-26,0.60,0.62,0.59,0.61,356300,0.60
2013-06-25,0.57,0.59,0.57,0.59,66000,0.58
2013-06-24,0.59,0.60,0.57,0.60,25500,0.59
2013-06-21,0.59,0.59,0.58,0.59,29500,0.58
2013-06-20,0.57,0.58,0.57,0.57,24000,0.57
2013-06-19,0.60,0.60,0.58,0.58,38400,0.57
2013-06-18,0.58,0.60,0.58,0.58,81000,0.58
2013-06-17,0.62,0.62,0.58,0.58,127900,0.58
2013-06-14,0.63,0.63,0.60,0.62,135100,0.61
2013-06-13,0.63,0.63,0.63,0.63,60500,0.62
2013-06-12,0.63,0.65,0.62,0.63,204900,0.62
2013-06-11,0.58,0.63,0.58,0.63,442700,0.62
2013-06-10,0.56,0.56,0.56,0.56,000,0.55
2013-06-07,0.57,0.57,0.56,0.56,336900,0.55
2013-06-06,0.57,0.58,0.56,0.58,127900,0.57
2013-06-05,0.57,0.58,0.57,0.58,38600,0.57
2013-06-04,0.58,0.58,0.57,0.57,15000,0.56
2013-06-03,0.58,0.58,0.58,0.58,106000,0.57
2013-05-31,0.59,0.61,0.58,0.59,181500,0.58
2013-05-30,0.61,0.61,0.58,0.58,40500,0.57
2013-05-29,0.60,0.62,0.60,0.62,275200,0.61
2013-05-28,0.55,0.59,0.55,0.58,276100,0.58
2013-05-27,0.55,0.57,0.54,0.55,838400,0.54
2013-05-24,0.61,0.62,0.54,0.58,766600,0.57
2013-05-23,0.64,0.64,0.61,0.61,304900,0.60
2013-05-22,0.65,0.66,0.64,0.64,169500,0.64
2013-05-21,0.68,0.68,0.65,0.65,104800,0.65
2013-05-20,0.68,0.68,0.64,0.68,260100,0.67
2013-05-17,0.67,0.67,0.66,0.67,105700,0.66
2013-05-16,0.65,0.69,0.65,0.67,396500,0.66
2013-05-15,0.64,0.67,0.64,0.65,203100,0.64
2013-05-14,0.64,0.64,0.64,0.64,107500,0.63
2013-05-13,0.64,0.64,0.62,0.63,417000,0.62
2013-05-10,0.67,0.67,0.64,0.64,199200,0.63
2013-05-09,0.69,0.69,0.67,0.68,159100,0.67
2013-05-08,0.67,0.70,0.66,0.69,1059600,0.69
2013-05-07,0.65,0.67,0.65,0.67,410600,0.66
2013-05-06,0.62,0.65,0.60,0.65,330200,0.64
2013-05-03,0.63,0.63,0.61,0.61,135800,0.60
2013-05-02,0.64,0.64,0.63,0.63,237100,0.62
2013-05-01,0.65,0.65,0.64,0.65,321500,0.65
2013-04-30,0.65,0.68,0.64,0.64,458500,0.63
2013-04-29,0.65,0.67,0.65,0.65,505800,0.65
2013-04-26,0.63,0.67,0.63,0.63,1000300,0.63
2013-04-25,0.63,0.63,0.63,0.63,000,0.63
2013-04-24,0.60,0.63,0.60,0.63,515800,0.63
2013-04-23,0.60,0.60,0.59,0.59,138500,0.58
2013-04-22,0.59,0.60,0.59,0.60,430900,0.59
2013-04-19,0.58,0.58,0.58,0.58,233000,0.58
2013-04-18,0.58,0.58,0.58,0.58,42500,0.57
2013-04-17,0.58,0.58,0.58,0.58,196000,0.57
2013-04-16,0.58,0.58,0.58,0.58,299700,0.57
2013-04-15,0.58,0.58,0.58,0.58,118100,0.57
2013-04-12,0.58,0.58,0.58,0.58,85000,0.57
2013-04-11,0.58,0.58,0.58,0.58,106700,0.57
2013-04-10,0.57,0.58,0.57,0.58,224400,0.57
2013-04-09,0.58,0.58,0.57,0.58,232500,0.57
2013-04-08,0.58,0.58,0.58,0.58,800,0.57
2013-04-05,0.57,0.58,0.57,0.58,242700,0.57
2013-04-04,0.57,0.58,0.57,0.58,299300,0.57
2013-04-03,0.57,0.57,0.57,0.57,57100,0.56
2013-04-02,0.57,0.57,0.57,0.57,266800,0.56
2013-04-01,0.57,0.57,0.57,0.57,000,0.56
2013-03-29,0.57,0.57,0.57,0.57,000,0.56
2013-03-28,0.57,0.57,0.55,0.57,249100,0.56
2013-03-27,0.56,0.57,0.53,0.57,122000,0.56
2013-03-26,0.54,0.56,0.54,0.56,81400,0.56
2013-03-25,0.55,0.55,0.54,0.54,18400,0.53
2013-03-22,0.55,0.55,0.54,0.54,208100,0.53
2013-03-21,0.56,0.57,0.56,0.56,175800,0.55
2013-03-20,0.55,0.57,0.54,0.56,108800,0.55
2013-03-19,0.52,0.55,0.52,0.55,732800,0.54
2013-03-18,0.52,0.52,0.52,0.52,756000,0.51
2013-03-15,0.52,0.53,0.52,0.52,693000,0.51
2013-03-14,0.53,0.53,0.52,0.52,56500,0.51
2013-03-13,0.52,0.53,0.52,0.53,77400,0.52
2013-03-12,0.51,0.53,0.51,0.52,252400,0.52
2013-03-11,0.52,0.52,0.51,0.51,364500,0.51
2013-03-08,0.51,0.52,0.51,0.52,133800,0.51
2013-03-07,0.52,0.52,0.51,0.51,193300,0.51
2013-03-06,0.53,0.53,0.51,0.52,284800,0.52
2013-03-05,0.52,0.54,0.52,0.52,500100,0.52
2013-03-04,0.51,0.52,0.51,0.52,808600,0.51
2013-03-01,0.51,0.52,0.51,0.52,188700,0.51
2013-02-28,0.50,0.51,0.50,0.51,628000,0.50
2013-02-27,0.52,0.52,0.51,0.51,19400,0.51
2013-02-26,0.50,0.52,0.50,0.52,409200,0.51
2013-02-25,0.47,0.54,0.46,0.50,822800,0.49
2013-02-22,0.49,0.49,0.46,0.46,1022000,0.45
2013-02-21,0.53,0.53,0.49,0.50,853400,0.49
2013-02-20,0.57,0.57,0.46,0.53,1129500,0.52
2013-02-19,0.61,0.61,0.56,0.56,597600,0.55
2013-02-18,0.60,0.61,0.60,0.61,509000,0.60
2013-02-15,0.60,0.61,0.59,0.60,180700,0.59
2013-02-14,0.60,0.60,0.59,0.60,40800,0.59
2013-02-13,0.60,0.61,0.59,0.61,843600,0.60
2013-02-12,0.60,0.60,0.59,0.60,27800,0.59
2013-02-11,0.60,0.60,0.59,0.60,171500,0.59
2013-02-08,0.60,0.60,0.58,0.60,570700,0.59
2013-02-07,0.59,0.60,0.59,0.59,26600,0.58
2013-02-06,0.60,0.60,0.58,0.58,43200,0.58
2013-02-05,0.58,0.58,0.58,0.58,42800,0.57
2013-02-04,0.61,0.61,0.58,0.60,90500,0.59
2013-02-01,0.60,0.61,0.58,0.61,132600,0.60
2013-01-31,0.58,0.60,0.58,0.60,129100,0.59
2013-01-30,0.60,0.60,0.58,0.60,177900,0.59
2013-01-29,0.60,0.60,0.58,0.60,116700,0.59
2013-01-28,0.60,0.60,0.60,0.60,000,0.59
2013-01-25,0.60,0.60,0.58,0.60,26100,0.59
2013-01-24,0.60,0.60,0.60,0.60,000,0.59
