Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,11.68,11.79,11.58,11.61,1233100,11.61
2014-01-22,11.76,11.87,11.66,11.73,832200,11.73
2014-01-21,11.61,11.79,11.58,11.72,1960300,11.72
2014-01-20,11.63,11.64,11.57,11.61,991200,11.61
2014-01-17,11.80,11.80,11.60,11.60,1536000,11.60
2014-01-16,11.85,11.86,11.74,11.79,1596700,11.79
2014-01-15,11.79,11.81,11.70,11.75,994900,11.75
2014-01-13,11.95,12.09,11.86,11.89,1187800,11.89
2014-01-10,11.90,11.97,11.87,11.94,443800,11.94
2014-01-09,11.80,11.90,11.78,11.90,633500,11.90
2014-01-08,11.92,11.97,11.80,11.81,1252400,11.81
2014-01-07,11.87,11.89,11.81,11.82,526300,11.82
2014-01-06,11.81,11.92,11.80,11.81,687100,11.81
2014-01-03,11.88,11.89,11.75,11.79,745500,11.79
2014-01-02,11.80,11.97,11.80,11.89,918600,11.89
2014-01-01,11.75,11.75,11.75,11.75,000,11.75
2013-12-31,11.77,11.98,11.75,11.75,938400,11.75
2013-12-30,11.78,11.85,11.69,11.77,670400,11.77
2013-12-27,11.80,11.92,11.62,11.65,975900,11.65
2013-12-26,11.73,11.73,11.73,11.73,000,11.73
2013-12-25,11.73,11.73,11.73,11.73,000,11.73
2013-12-24,11.57,11.73,11.56,11.73,738800,11.73
2013-12-23,11.46,11.60,11.43,11.54,1118000,11.54
2013-12-20,11.30,11.48,11.17,11.42,4698900,11.42
2013-12-19,11.09,11.29,11.07,11.29,1793800,11.29
2013-12-18,10.95,11.05,10.94,11.01,1307500,11.01
2013-12-17,10.98,11.05,10.90,10.98,1197800,10.98
2013-12-16,10.80,10.95,10.80,10.95,1279600,10.95
2013-12-13,10.68,10.82,10.64,10.80,1045300,10.80
2013-12-12,10.82,10.86,10.62,10.73,1245500,10.73
2013-12-11,10.75,10.94,10.75,10.78,752700,10.78
2013-12-10,10.79,10.95,10.78,10.82,1424800,10.82
2013-12-09,10.95,11.04,10.77,10.79,1074600,10.79
2013-12-06,10.90,10.93,10.73,10.92,1295400,10.92
2013-12-05,11.10,11.10,10.90,10.92,1513000,10.92
2013-12-04,11.04,11.16,10.94,11.12,1024800,11.12
2013-12-03,11.10,11.22,11.07,11.09,709800,11.09
