Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,2.98,2.98,2.85,2.98,61700,2.98
2014-01-23,2.98,2.99,2.90,2.90,21400,2.90
2014-01-22,2.99,2.99,2.88,2.97,16700,2.97
2014-01-21,2.86,2.99,2.86,2.99,96600,2.99
2014-01-20,2.85,2.90,2.85,2.89,31200,2.89
2014-01-17,2.86,2.90,2.85,2.85,45400,2.85
2014-01-16,2.88,2.89,2.85,2.86,30800,2.86
2014-01-15,2.89,2.89,2.85,2.85,14800,2.85
2014-01-13,2.89,2.90,2.83,2.90,45100,2.90
2014-01-10,2.87,2.90,2.82,2.83,59100,2.83
2014-01-09,2.90,2.90,2.86,2.88,3300,2.88
2014-01-08,2.88,2.90,2.84,2.90,16500,2.90
2014-01-07,2.85,2.90,2.85,2.89,26300,2.89
2014-01-06,2.89,2.90,2.85,2.86,31400,2.86
2014-01-03,2.90,2.90,2.86,2.86,12500,2.86
2014-01-02,2.87,2.90,2.87,2.90,99100,2.90
2014-01-01,2.87,2.87,2.87,2.87,000,2.87
2013-12-31,2.90,2.90,2.87,2.87,5500,2.87
2013-12-30,2.87,2.90,2.83,2.90,43400,2.90
2013-12-27,2.86,2.89,2.84,2.87,21900,2.87
2013-12-26,2.89,2.89,2.89,2.89,000,2.89
2013-12-25,2.89,2.89,2.89,2.89,000,2.89
2013-12-24,2.89,2.89,2.82,2.89,46800,2.89
2013-12-23,2.85,2.93,2.84,2.90,78500,2.90
2013-12-20,2.74,2.85,2.67,2.85,189300,2.85
2013-12-19,2.72,2.76,2.72,2.75,27600,2.75
2013-12-18,2.70,2.73,2.66,2.72,102000,2.72
2013-12-17,2.75,2.77,2.70,2.73,54400,2.73
2013-12-16,2.78,2.78,2.70,2.77,58600,2.77
2013-12-13,2.78,2.79,2.72,2.78,55900,2.78
2013-12-12,2.71,2.79,2.71,2.79,158300,2.79
2013-12-11,2.71,2.79,2.71,2.79,139900,2.79
2013-12-10,2.74,2.77,2.70,2.73,207600,2.73
2013-12-09,2.93,2.94,2.61,2.75,465700,2.75
2013-12-06,2.95,2.96,2.93,2.96,64500,2.96
2013-12-05,2.94,2.94,2.93,2.93,1102800,2.93
2013-12-04,2.94,2.95,2.93,2.94,167000,2.94
2013-12-03,2.95,2.95,2.92,2.94,156800,2.94
2013-12-02,2.93,2.96,2.93,2.96,76200,2.96
2013-11-29,2.95,2.96,2.94,2.95,25100,2.95
