Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,4.78,4.88,4.78,4.87,22000,4.87
2014-01-23,4.78,4.86,4.78,4.82,11600,4.82
2014-01-22,4.78,4.86,4.78,4.78,7600,4.78
2014-01-21,4.79,4.84,4.79,4.80,25800,4.80
2014-01-20,4.78,4.89,4.78,4.78,22800,4.78
2014-01-17,4.80,4.84,4.78,4.84,7600,4.84
2014-01-16,4.88,4.89,4.77,4.89,58900,4.89
2014-01-15,4.83,4.89,4.81,4.81,7800,4.81
2014-01-13,4.85,4.89,4.84,4.89,11500,4.89
2014-01-10,4.95,4.95,4.84,4.84,44000,4.84
2014-01-09,4.87,4.97,4.87,4.95,13800,4.95
2014-01-08,4.90,4.94,4.86,4.86,29600,4.86
2014-01-07,4.86,4.96,4.86,4.95,24400,4.95
2014-01-06,4.87,4.92,4.86,4.86,24700,4.86
2014-01-03,4.93,4.94,4.87,4.88,3700,4.88
2014-01-02,4.86,4.93,4.86,4.87,19100,4.87
2014-01-01,4.87,4.87,4.87,4.87,000,4.87
2013-12-31,4.85,4.98,4.84,4.87,7800,4.87
2013-12-30,4.84,4.98,4.82,4.95,13500,4.95
2013-12-27,4.78,4.85,4.78,4.85,14300,4.85
2013-12-26,4.75,4.75,4.75,4.75,000,4.75
2013-12-25,4.75,4.75,4.75,4.75,000,4.75
2013-12-24,4.78,4.78,4.70,4.75,3600,4.75
2013-12-23,4.78,4.80,4.69,4.77,17200,4.77
2013-12-20,4.68,4.76,4.64,4.65,55200,4.65
2013-12-19,4.66,4.76,4.65,4.69,33700,4.69
2013-12-18,4.82,4.82,4.66,4.69,67200,4.69
2013-12-17,4.68,4.75,4.68,4.69,23500,4.69
2013-12-16,4.72,4.72,4.67,4.68,15000,4.68
2013-12-13,4.72,4.72,4.65,4.72,10700,4.72
2013-12-12,4.82,4.82,4.65,4.76,46200,4.76
2013-12-11,4.73,4.81,4.73,4.80,341500,4.80
2013-12-10,4.71,4.74,4.65,4.74,62700,4.74
2013-12-09,4.71,4.78,4.70,4.74,34500,4.74
2013-12-06,4.76,4.81,4.72,4.72,103300,4.72
2013-12-05,4.84,4.84,4.76,4.80,12800,4.80
2013-12-04,4.89,4.89,4.75,4.80,19100,4.80
2013-12-03,4.79,4.87,4.75,4.75,87900,4.75
2013-12-02,4.90,4.95,4.78,4.78,84400,4.78
2013-11-29,4.95,5.00,4.90,4.90,25800,4.90
2013-11-28,4.94,5.05,4.90,4.94,381300,4.94
2013-11-27,4.81,4.95,4.81,4.90,23700,4.90
2013-11-26,4.85,4.88,4.81,4.85,13700,4.85
2013-11-25,4.79,4.88,4.79,4.88,12800,4.88
2013-11-22,4.78,4.84,4.78,4.79,1400,4.79
