Date,Open,High,Low,Close,Volume,Adj Close
24/01/14,34,34.14,33.8,33.82,3910178,
23/01/14,34.33,34.47,33.91,34.16,4576600,34.16
22/01/14,34,34.29,33.92,34.29,3711600,34.29
21/01/14,33.5,34.04,33.49,33.99,2357200,33.99
20/01/14,33.53,33.77,33.28,33.64,2990900,33.64
17/01/14,33.8,33.89,33.62,33.74,3820500,33.74
16/01/14,34.04,34.09,33.72,34.09,4216400,34.09
15/01/14,33.87,33.95,33.57,33.83,2877500,33.83
13/01/14,34.6,34.62,34.16,34.24,2574200,34.24
10/01/14,34.48,34.71,34.38,34.57,2174600,34.57
9/01/14,34.4,34.5,34.22,34.45,2077300,34.45
8/01/14,34.72,34.75,34.32,34.4,2026700,34.4
7/01/14,34.67,34.77,34.37,34.5,2584500,34.5
6/01/14,34.7,34.82,34.4,34.55,1910200,34.55
3/01/14,34.55,34.71,34.5,34.69,1647500,34.69
2/01/14,34.85,35,34.65,34.83,1355900,34.83
1/01/14,34.83,34.83,34.83,34.83,0,34.83
31/12/13,34.67,34.9,34.6,34.83,1030600,34.83
30/12/13,34.85,34.88,34.6,34.84,1393300,34.84
27/12/13,34.99,34.99,34.66,34.7,1506700,34.7
26/12/13,34.78,34.78,34.78,34.78,0,34.78
25/12/13,34.78,34.78,34.78,34.78,0,34.78
24/12/13,34.72,34.86,34.62,34.78,2173700,34.78
23/12/13,34.49,34.62,34.35,34.62,2577600,34.62
20/12/13,34.12,34.37,33.91,34.26,15348400,34.26
19/12/13,33.8,34.03,33.53,34.03,7472900,34.03
18/12/13,33.5,33.65,33.41,33.41,5562400,33.41
17/12/13,33.5,33.69,33.15,33.4,4686400,33.4
16/12/13,33.03,33.51,32.8,33.2,3528100,33.2
13/12/13,32.8,33.35,32.79,33.35,5871700,33.35
12/12/13,33.08,33.08,32.53,33.04,8339900,33.04
11/12/13,33.08,33.3,32.87,32.87,3196700,32.87
10/12/13,33.21,33.67,33.16,33.17,4151800,33.17
9/12/13,33.67,33.7,32.92,33.17,5372100,33.17
6/12/13,33.47,33.56,32.9,33.47,5302200,33.47
5/12/13,34.2,34.29,33.66,33.66,6358000,33.66
4/12/13,34,34.62,33.97,34.38,4930200,34.38
3/12/13,34.35,34.53,34.18,34.19,3660400,34.19
2/12/13,34.77,34.85,34.24,34.31,3920300,34.31
29/11/13,34.5,34.74,34.32,34.58,8406100,34.58
28/11/13,34.6,34.87,34.51,34.54,5123300,34.54
27/11/13,34.49,34.78,34.42,34.49,6224800,34.49
26/11/13,34.17,34.57,34.03,34.4,5836300,34.4
25/11/13,34.11,34.17,33.95,34.1,6037600,34.1
22/11/13,33.93,34.15,33.87,33.92,5542700,33.92
21/11/13,33.69,33.91,33.52,33.7,4407100,33.7
20/11/13,33.98,34.27,33.79,33.8,4423100,33.8
19/11/13,34.12,34.45,34.07,34.07,4839900,34.07
18/11/13,34.21,34.47,33.91,34.36,4874400,34.36
15/11/13,33.6,34.39,33.54,34.3,4407900,34.3
14/11/13,33.65,34.17,33.6,33.78,5545300,33.78
13/11/13,34.4,34.4,33.51,33.65,6786800,33.65
12/11/13,34.79,34.85,34.14,34.5,4519200,34.5
11/11/13,34.88,35,34.32,34.56,3732200,34.56
8/11/13,34.52,34.86,34.4,34.78,4066000,34.78
7/11/13,34.82,34.87,34.46,34.68,18754400,34.68
6/11/13,35.52,35.89,35.41,35.89,6552800,34.92
5/11/13,35.64,35.8,35.54,35.8,3632900,34.83
4/11/13,35.75,35.85,35.35,35.43,3865300,34.47
1/11/13,35.4,36.54,35.33,35.63,5130200,34.67
31/10/13,35.01,35.68,34.95,35.31,12507000,34.36
30/10/13,36.71,36.77,36.2,36.23,7791700,35.25
29/10/13,36.81,37.07,36.53,36.68,4944700,35.69
28/10/13,36.47,36.87,36.37,36.68,10051600,35.69
25/10/13,35.68,36.12,35.64,36.08,12573800,35.1
24/10/13,35.57,35.81,35.51,35.59,5110500,34.63
23/10/13,36.2,36.35,35.46,35.47,5045800,34.51
22/10/13,36,36.24,35.95,36.07,3258200,35.1
21/10/13,36.08,36.43,35.97,35.97,3912400,35
18/10/13,35.86,36.03,35.75,35.98,5984100,35.01
17/10/13,35.51,35.75,35.36,35.64,6389300,34.68
16/10/13,34.71,35.31,34.71,35.11,3876300,34.16
15/10/13,35.08,35.14,34.96,35.01,3359600,34.06
14/10/13,34.67,34.82,34.51,34.76,2463900,33.82
11/10/13,34.77,35,34.72,34.87,4346900,33.93
10/10/13,34.34,34.47,34.08,34.17,3622900,33.25
9/10/13,34.01,34.27,33.94,34.26,2940200,33.33
8/10/13,34.14,34.34,34.01,34.19,4758400,33.27
7/10/13,34.75,34.8,34.19,34.4,2912700,33.47
4/10/13,34.46,34.88,34.45,34.81,3037400,33.87
3/10/13,34.48,35.09,34.47,34.89,5662100,33.95
2/10/13,34.65,34.73,34.41,34.52,3026300,33.59
1/10/13,34.4,34.76,34.07,34.41,3898000,33.48
30/09/13,34.81,34.9,34.32,34.32,5170600,33.39
27/09/13,35.41,35.45,35.07,35.11,15032100,34.16
26/09/13,35.05,35.33,34.92,35.33,4045200,34.38
25/09/13,34.74,35.36,34.73,35.3,5896400,34.35
24/09/13,34.64,34.77,34.45,34.62,4021200,33.68
23/09/13,34.61,34.95,34.6,34.83,4125400,33.89
20/09/13,34.94,35.29,34.75,34.86,6128400,33.92
19/09/13,35,35.18,34.84,35.03,7639600,34.08
18/09/13,34.92,35.02,34.61,34.64,6912700,33.7
17/09/13,34.2,34.87,34.11,34.68,7970900,33.74
16/09/13,33.89,34.18,33.82,34.1,6490200,33.18
13/09/13,33.71,33.8,33.44,33.53,5153800,32.62
12/09/13,33.8,33.98,33.65,33.85,4855300,32.94
11/09/13,33.68,33.87,33.61,33.85,4391500,32.94
10/09/13,33.25,33.58,33.19,33.44,3611500,32.54
9/09/13,32.99,33.18,32.79,33.18,3909100,32.28
6/09/13,32.82,32.9,32.5,32.77,3338500,31.88
5/09/13,32.69,32.82,32.45,32.74,3380000,31.86
4/09/13,32.67,32.85,32.52,32.59,4925800,31.71
3/09/13,32.91,33.1,32.9,32.91,2649800,32.02
2/09/13,32.69,32.96,32.63,32.85,3969600,31.96
30/08/13,32.33,32.48,32.2,32.45,8615400,31.57
29/08/13,32.3,32.4,31.9,32.36,5602700,31.49
28/08/13,32.4,32.44,32.1,32.32,4412400,31.45
27/08/13,32.3,32.75,32.21,32.66,3040500,31.78
26/08/13,32.46,32.73,32.23,32.55,4098300,31.67
23/08/13,32.35,32.52,32.11,32.46,5317000,31.58
22/08/13,31.86,32.34,31.79,32.34,5766800,31.47
21/08/13,31.75,32.26,31.7,32.14,6313100,31.27
20/08/13,31.24,31.73,31.08,31.57,8367700,30.72
19/08/13,31.48,31.54,31.3,31.36,2656000,30.51
16/08/13,31.26,31.3,31.07,31.27,4144700,30.42
15/08/13,31.4,31.56,31.27,31.48,4118200,30.63
14/08/13,31.2,31.35,31.17,31.32,5261200,30.47
13/08/13,30.7,31.12,30.66,31.06,4194400,30.22
12/08/13,30.36,30.79,30.28,30.69,2995900,29.86
9/08/13,30.57,30.65,30.27,30.57,3592400,29.74
8/08/13,30.54,30.89,30.36,30.74,4313300,29.91
7/08/13,30.94,30.95,30.45,30.53,5104200,29.7
6/08/13,31.1,31.12,30.8,31.06,4025500,30.22
5/08/13,31.16,31.22,30.98,31.08,2151600,30.24
2/08/13,31,31.17,30.92,31.17,4913400,30.33
1/08/13,31.23,31.29,30.36,30.73,7418200,29.9
31/07/13,31.34,31.53,31.23,31.23,5355500,30.39
30/07/13,31.2,31.25,30.94,31.19,4206600,30.35
29/07/13,31.05,31.29,31,31.16,4221300,30.32
26/07/13,30.85,31.21,30.81,31,12216000,30.16
25/07/13,30.69,30.99,30.58,30.87,6431000,30.04
24/07/13,30.55,30.69,30.36,30.67,5379100,29.84
23/07/13,30.49,30.58,30.36,30.49,4661700,29.67
22/07/13,30.5,30.65,30.35,30.41,4213300,29.59
19/07/13,30.47,30.5,30.22,30.34,5563000,29.52
18/07/13,30.22,30.37,30.15,30.34,5026100,29.52
17/07/13,30.09,30.11,29.87,30.03,4070500,29.22
16/07/13,30.11,30.21,29.99,30.1,3282000,29.29
15/07/13,29.94,30.1,29.83,30.03,3290900,29.22
12/07/13,30.01,30.23,29.86,29.94,4758300,29.13
11/07/13,29.73,29.99,29.57,29.98,4643000,29.17
10/07/13,29.6,29.78,29.38,29.45,3294800,28.65
9/07/13,29.2,29.58,29.04,29.42,5410200,28.62
8/07/13,29.12,29.23,28.72,28.87,4149500,28.09
5/07/13,29.2,29.23,29.04,29.17,2989500,28.38
4/07/13,29,29.05,28.64,28.87,3429400,28.09
3/07/13,29.03,29.2,28.65,28.72,5365700,27.94
2/07/13,29.39,29.44,28.78,29.26,6746400,28.47
1/07/13,29.38,29.43,28.87,28.97,5117000,28.19
28/06/13,29.95,30,29.67,29.68,15927100,28.88
27/06/13,29.62,29.89,29.44,29.75,7007700,28.95
26/06/13,29,29.35,28.9,29.23,5640800,28.44
25/06/13,28.66,29.05,28.51,28.7,5417700,27.92
24/06/13,28.9,28.97,28.58,28.68,4377400,27.9
21/06/13,28.61,29.15,28.59,28.98,6902400,28.2
20/06/13,29.35,29.75,28.96,29.2,10598700,28.41
19/06/13,29.99,30.04,29.63,30.04,5686200,29.23
18/06/13,29.75,29.86,29.34,29.74,6154400,28.94
17/06/13,29.37,29.98,29.16,29.92,6977500,29.11
14/06/13,29.09,29.44,28.9,29.38,7270500,28.59
13/06/13,27.8,28.65,27.8,28.37,7085100,27.6
12/06/13,28.06,28.22,27.55,28.05,8377200,27.29
11/06/13,28.51,28.55,28.11,28.4,7991200,27.63
10/06/13,28.35,28.35,28.35,28.35,0,27.58
7/06/13,28.44,28.75,28.35,28.35,7539200,27.58
6/06/13,28.5,29.23,28.32,28.75,8865200,27.97
5/06/13,29.61,29.68,28.87,28.95,9425100,28.17
4/06/13,29.34,29.78,29.22,29.61,6082900,28.81
3/06/13,29.1,29.69,29.07,29.3,6188200,28.51
31/05/13,29.43,29.52,28.84,29,20727800,28.22
30/05/13,29.15,29.63,29.09,29.32,40016900,28.53
29/05/13,31.25,31.32,30.52,30.55,10276700,28.82
28/05/13,31.3,31.4,31,31.12,7382500,29.36
27/05/13,31,31.4,30.76,31.24,7039200,29.47
24/05/13,31.95,32.11,31.11,31.29,10701800,29.52
23/05/13,32.55,32.68,31.63,31.7,13410300,29.9
22/05/13,33.23,33.23,32.61,32.71,6255500,30.86
