Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,5.69,5.74,5.69,5.73,54400,5.73
2014-01-23,5.69,5.75,5.69,5.70,33000,5.70
2014-01-22,5.72,5.72,5.70,5.70,22900,5.70
2014-01-21,5.74,5.79,5.73,5.73,2600,5.73
2014-01-20,5.72,5.75,5.72,5.72,9900,5.72
2014-01-17,5.75,5.78,5.72,5.72,11300,5.72
2014-01-16,5.79,5.79,5.75,5.75,10000,5.75
2014-01-15,5.76,5.79,5.72,5.79,7200,5.79
2014-01-13,5.80,5.88,5.80,5.80,10400,5.80
2014-01-10,5.82,5.83,5.82,5.83,2600,5.83
2014-01-09,5.85,5.85,5.82,5.85,6100,5.85
2014-01-08,5.90,5.90,5.87,5.87,29700,5.87
2014-01-07,5.96,5.96,5.90,5.95,4800,5.95
2014-01-06,5.90,6.05,5.90,6.00,15100,6.00
2014-01-03,5.67,5.90,5.67,5.90,9800,5.90
2014-01-02,5.62,5.62,5.62,5.62,000,5.62
2014-01-01,5.62,5.62,5.62,5.62,000,5.62
2013-12-31,5.64,5.73,5.62,5.62,26700,5.62
2013-12-30,5.65,5.73,5.65,5.73,5000,5.73
2013-12-27,5.64,5.64,5.64,5.64,6900,5.64
2013-12-26,5.65,5.65,5.65,5.65,000,5.65
2013-12-25,5.65,5.65,5.65,5.65,000,5.65
2013-12-24,5.66,5.66,5.65,5.65,9000,5.65
2013-12-23,5.70,5.70,5.65,5.66,7800,5.66
2013-12-20,5.72,5.72,5.64,5.65,30300,5.65
2013-12-19,5.76,5.79,5.73,5.73,15700,5.73
2013-12-18,5.77,5.77,5.77,5.77,2700,5.77
2013-12-17,5.81,5.81,5.75,5.75,2100,5.75
2013-12-16,5.70,5.81,5.70,5.81,3300,5.81
2013-12-13,5.69,5.85,5.68,5.78,42300,5.78
2013-12-12,5.74,5.74,5.69,5.69,39800,5.69
2013-12-11,5.81,5.81,5.72,5.73,21300,5.73
2013-12-10,5.81,5.81,5.81,5.81,30200,5.81
2013-12-09,5.81,5.81,5.78,5.78,13200,5.78
2013-12-06,5.87,5.89,5.80,5.83,27000,5.83
2013-12-05,5.89,5.89,5.84,5.87,18100,5.87
2013-12-04,5.87,5.87,5.83,5.86,28400,5.86
2013-12-03,5.85,5.87,5.84,5.86,25900,5.86
2013-12-02,5.80,5.88,5.80,5.87,18900,5.87
2013-11-29,5.84,5.84,5.80,5.84,25000,5.84
2013-11-28,5.80,5.85,5.80,5.85,19500,5.85
2013-11-27,5.75,5.76,5.75,5.75,3300,5.75
2013-11-26,5.80,5.84,5.75,5.84,33800,5.84
2013-11-25,5.83,5.83,5.80,5.80,9700,5.80
2013-11-22,5.83,5.87,5.83,5.83,4600,5.83
2013-11-21,5.85,5.85,5.80,5.80,10500,5.80
2013-11-20,5.90,5.90,5.82,5.82,20000,5.82
2013-11-19,5.87,5.90,5.86,5.86,21500,5.86
2013-11-18,5.93,5.95,5.85,5.85,15600,5.85
2013-11-15,5.95,5.95,5.93,5.93,3900,5.93
2013-11-14,5.92,5.95,5.85,5.87,20200,5.87
2013-11-13,5.95,5.99,5.90,5.90,18400,5.90
2013-11-12,5.95,5.95,5.87,5.87,17100,5.87
2013-11-11,5.93,5.95,5.90,5.90,26400,5.90
2013-11-08,5.80,5.90,5.78,5.90,17700,5.90
2013-11-07,5.80,5.89,5.76,5.76,21800,5.76
2013-11-06,5.75,5.80,5.70,5.70,7900,5.70
2013-11-05,5.72,5.73,5.69,5.69,17700,5.69
2013-11-04,5.65,5.73,5.63,5.73,17200,5.73
2013-11-01,5.86,5.87,5.76,5.76,33100,5.76
