CBA,,,ANZ ,,,Westpac,,,HOM,,,
Ex Date,Amount,,Ex Date,Amount,,Ex Date,Amount,,Ex Date,Amount,,
19/08/13,2,,7/11/13,0.91,,8/11/13,0.98,,10/09/13,0.03,,
18/02/13,1.64,,9/05/13,0.73,,13/05/13,0.96,,12/03/13,0.03,,
20/08/12,1.97,,8/11/12,0.79,,9/11/12,0.84,,11/09/12,0.035,,
20/02/12,1.37,,10/05/12,0.66,,14/05/12,0.82,,13/03/12,0.025,,
15/08/11,1.88,,10/11/11,0.76,,7/11/11,0.8,,12/09/11,0.035,,
14/02/11,1.32,,12/05/11,0.64,,16/05/11,0.76,,11/03/11,0.025,,
16/08/10,1.7,,4/11/10,0.74,,8/11/10,0.74,,8/09/10,0.035,,
15/02/10,1.2,,6/05/10,0.52,,17/05/10,0.65,,24/02/10,0.035,,
17/08/09,1.15,,5/11/09,0.56,,9/11/09,0.6,,14/09/09,0.055,,
16/02/09,1.13,,7/05/09,0.46,,18/05/09,0.56,,23/03/09,0.015,,
18/08/08,1.53,,6/11/08,0.74,,5/11/08,0.72,,20/03/08,0.02,,
18/02/08,1.13,,8/05/08,0.62,,19/05/08,0.7,,29/10/07,0.012,,
20/08/07,1.49,,8/11/07,0.74,,7/11/07,0.68,,21/03/07,0.025,,
19/02/07,1.07,,14/05/07,0.62,,17/05/07,0.63,,29/09/06,0.025,,
14/08/06,1.3,,9/11/06,0.69,,16/11/06,0.6,,21/03/06,0.025,,
20/02/06,0.94,,15/05/06,0.56,,1/06/06,0.56,,30/09/05,0.015,,
15/08/05,1.12,,8/11/05,0.59,,17/11/05,0.51,,28/03/03,0.012,,
14/02/05,0.85,,16/05/05,0.51,,1/06/05,0.49,,28/10/02,0.025,,
16/08/04,1.04,,8/11/04,0.54,,18/11/04,0.44,,8/03/02,0.025,,
16/02/04,0.79,,14/05/04,0.47,,4/06/04,0.42,,30/11/01,0.025,,
25/08/03,0.85,,7/11/03,0.51,,20/11/03,0.4,,,,,
17/02/03,0.69,,16/05/03,0.44,,5/06/03,0.38,,,,,
26/08/02,0.82,,31/10/02,0.46,,21/11/02,0.36,,,,,
18/02/02,0.68,,17/05/02,0.39,,6/06/02,0.34,,,,,
27/08/01,0.75,,1/11/01,0.4,,22/11/01,0.32,,,,,
19/02/01,0.61,,11/05/01,0.33,,7/06/01,0.3,,,,,
4/09/00,0.72,,2/11/00,0.35,,30/11/00,0.28,,,,,
17/02/00,0.58,,22/05/00,0.29,,8/06/00,0.26,,,,,
18/08/99,0.66,,15/11/99,0.3,,2/12/99,0.24,,,,,
16/02/99,0.49,,7/06/99,0.26,,4/06/99,0.23,,,,,
17/08/98,0.58,,12/11/98,0.28,,1/12/98,0.22,,,,,
16/02/98,0.46,,3/06/98,0.24,,2/06/98,0.21,,,,,
18/08/97,0.57,,4/12/97,0.26,,2/12/97,0.2,,,,,
,,,,,,,,,,,,
