Date,RBA Interest Rate,Inflation,,,
24/01/14,0.025,0.027,,2001,% Unemployed
23/01/14,0.025,0.027,,January,10.4
22/01/14,0.025,0.027,,February,10.4
21/01/14,0.025,0.027,,March,10.6
20/01/14,0.025,0.027,,April,10.2
17/01/14,0.025,0.027,,May,10.2
16/01/14,0.025,0.027,,June,9.7
15/01/14,0.025,0.027,,July,8.8
13/01/14,0.025,0.027,,August,9.7
10/01/14,0.025,0.027,,September,10.7
9/01/14,0.025,0.027,,October,9.6
8/01/14,0.025,0.027,,November,9.1
7/01/14,0.025,0.027,,December,10.5
6/01/14,0.025,0.027,,2002,
3/01/14,0.025,0.027,,January,10.9
2/01/14,0.025,0.027,,February,9.4
1/01/14,0.025,0.027,,March,8.9
31/12/13,0.025,0.027,,April,8.4
30/12/13,0.025,0.027,,May,7.8
27/12/13,0.025,0.027,,June,8.3
26/12/13,0.025,0.027,,July,7.6
25/12/13,0.025,0.027,,August,7.3
24/12/13,0.025,0.027,,September,7.3
23/12/13,0.025,0.027,,October,7.8
20/12/13,0.025,0.027,,November,7.4
19/12/13,0.025,0.027,,December,7.7
18/12/13,0.025,0.027,,2003,
17/12/13,0.025,0.027,,January,7
16/12/13,0.025,0.027,,February,8.4
13/12/13,0.025,0.027,,March,8
12/12/13,0.025,0.027,,April,7.7
11/12/13,0.025,0.027,,May,8.2
10/12/13,0.025,0.027,,June,8
9/12/13,0.025,0.027,,July,8.1
6/12/13,0.025,0.027,,August,8.1
5/12/13,0.025,0.027,,September,7.8
4/12/13,0.025,0.027,,October,7.1
3/12/13,0.025,0.027,,November,7.8
2/12/13,0.025,0.027,,December,8.8
29/11/13,0.025,0.022,,2004,
28/11/13,0.025,0.022,,January,9.5
27/11/13,0.025,0.022,,February,8.4
26/11/13,0.025,0.022,,March,8.8
25/11/13,0.025,0.022,,April,8.4
22/11/13,0.025,0.022,,May,7.9
21/11/13,0.025,0.022,,June,8.5
20/11/13,0.025,0.022,,July,7.4
19/11/13,0.025,0.022,,August,6.9
18/11/13,0.025,0.022,,September,7.1
15/11/13,0.025,0.022,,October,6.9
14/11/13,0.025,0.022,,November,6.4
13/11/13,0.025,0.022,,December,6.8
12/11/13,0.025,0.022,,2005,
11/11/13,0.025,0.022,,January,7.6
8/11/13,0.025,0.022,,February,7
7/11/13,0.025,0.022,,March,7.5
6/11/13,0.025,0.022,,April,7.7
5/11/13,0.025,0.022,,May,7.2
4/11/13,0.025,0.022,,June,6.5
1/11/13,0.025,0.022,,July,7.6
31/10/13,0.025,0.022,,August,7
30/10/13,0.025,0.022,,September,6.7
29/10/13,0.025,0.022,,October,6.9
28/10/13,0.025,0.022,,November,8.1
25/10/13,0.025,0.022,,December,8.5
24/10/13,0.025,0.022,,2006,
23/10/13,0.025,0.022,,January,8.5
22/10/13,0.025,0.022,,February,7.8
21/10/13,0.025,0.022,,March,7.7
18/10/13,0.025,0.022,,April,7.2
17/10/13,0.025,0.022,,May,6.6
16/10/13,0.025,0.022,,June,6.2
15/10/13,0.025,0.022,,July,7.3
14/10/13,0.025,0.022,,August,7
11/10/13,0.025,0.022,,September,7.6
10/10/13,0.025,0.022,,October,8.2
9/10/13,0.025,0.022,,November,6.5
8/10/13,0.025,0.022,,December,6.7
7/10/13,0.025,0.022,,2007,
4/10/13,0.025,0.022,,January,8
3/10/13,0.025,0.022,,February,7.4
2/10/13,0.025,0.022,,March,6.3
1/10/13,0.025,0.022,,April,6.3
30/09/13,0.025,0.022,,May,4.9
27/09/13,0.025,0.022,,June,5.5
26/09/13,0.025,0.022,,July,6.1
25/09/13,0.025,0.022,,August,5
24/09/13,0.025,0.022,,September,6.2
23/09/13,0.025,0.022,,October,5.6
20/09/13,0.025,0.022,,November,5.7
19/09/13,0.025,0.022,,December,7
18/09/13,0.025,0.022,,2008,
17/09/13,0.025,0.022,,January,5.8
16/09/13,0.025,0.022,,February,6.2
13/09/13,0.025,0.022,,March,6.1
12/09/13,0.025,0.022,,April,5.6
11/09/13,0.025,0.022,,May,6.1
10/09/13,0.025,0.022,,June,5.8
9/09/13,0.025,0.022,,July,5.5
6/09/13,0.025,0.022,,August,5.6
5/09/13,0.025,0.022,,September,4.9
4/09/13,0.025,0.022,,October,5.7
3/09/13,0.025,0.022,,November,6.4
2/09/13,0.025,0.022,,December,6.4
30/08/13,0.025,0.024,,2009,
29/08/13,0.025,0.024,,January,6.9
28/08/13,0.025,0.024,,February,8
27/08/13,0.025,0.024,,March,7
26/08/13,0.025,0.024,,April,7.1
23/08/13,0.025,0.024,,May,7.4
22/08/13,0.025,0.024,,June,7.8
21/08/13,0.025,0.024,,July,7.6
20/08/13,0.025,0.024,,August,7.4
19/08/13,0.025,0.024,,September,6.9
16/08/13,0.025,0.024,,October,7.2
15/08/13,0.025,0.024,,November,6.9
14/08/13,0.025,0.024,,December,6.8
13/08/13,0.025,0.024,,2010,
12/08/13,0.025,0.024,,January,7.5
9/08/13,0.025,0.024,,February,7.9
8/08/13,0.025,0.024,,March,7.4
7/08/13,0.025,0.024,,April,6.6
6/08/13,0.0275,0.024,,May,6.9
5/08/13,0.0275,0.024,,June,5.9
2/08/13,0.0275,0.024,,July,6.3
1/08/13,0.0275,0.024,,August,6.1
