Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,6.77,6.82,6.70,6.80,375900,6.80
2014-01-23,6.94,6.95,6.66,6.82,584000,6.82
2014-01-22,6.85,6.97,6.85,6.97,382600,6.97
2014-01-21,6.79,6.93,6.79,6.90,467800,6.90
2014-01-20,6.86,6.87,6.68,6.75,366300,6.75
2014-01-17,6.85,6.98,6.77,6.86,661300,6.86
2014-01-16,6.70,6.83,6.70,6.82,1003900,6.82
2014-01-15,6.53,6.68,6.49,6.66,758200,6.66
2014-01-13,6.41,6.63,6.35,6.62,567300,6.62
2014-01-10,6.38,6.50,6.34,6.46,557200,6.46
2014-01-09,6.30,6.44,6.30,6.41,752900,6.41
2014-01-08,6.26,6.30,6.15,6.30,406800,6.30
2014-01-07,6.28,6.34,6.24,6.25,289100,6.25
2014-01-06,6.31,6.35,6.22,6.25,319100,6.25
2014-01-03,6.39,6.46,6.26,6.31,257700,6.31
2014-01-02,6.49,6.49,6.39,6.42,152800,6.42
2014-01-01,6.51,6.51,6.51,6.51,000,6.51
2013-12-31,6.44,6.51,6.42,6.51,380600,6.51
2013-12-30,6.30,6.44,6.28,6.43,224900,6.43
2013-12-27,6.47,6.47,6.33,6.33,139400,6.33
2013-12-26,6.46,6.46,6.46,6.46,000,6.46
2013-12-25,6.46,6.46,6.46,6.46,000,6.46
2013-12-24,6.40,6.47,6.37,6.46,203100,6.46
2013-12-23,6.35,6.39,6.30,6.38,409600,6.38
2013-12-20,6.20,6.30,6.18,6.30,575100,6.30
2013-12-19,6.09,6.20,6.06,6.20,548800,6.20
2013-12-18,6.01,6.05,5.95,6.00,473100,6.00
2013-12-17,6.05,6.07,6.02,6.05,364400,6.05
2013-12-16,5.94,6.00,5.87,5.98,321900,5.98
2013-12-13,5.98,6.00,5.78,5.92,846700,5.92
2013-12-12,6.14,6.14,5.98,6.01,476500,6.01
2013-12-11,6.15,6.22,6.11,6.12,399700,6.12
2013-12-10,6.10,6.18,6.05,6.15,756600,6.15
2013-12-09,6.06,6.15,6.06,6.12,300500,6.12
2013-12-06,6.04,6.07,5.99,6.01,240100,6.01
2013-12-05,6.16,6.18,5.99,6.03,776600,6.03
