Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,3.15,3.20,3.14,3.20,1626200,3.20
2014-01-23,3.18,3.19,3.14,3.16,1490300,3.16
2014-01-22,3.19,3.20,3.16,3.18,963100,3.18
2014-01-21,3.15,3.19,3.15,3.19,934900,3.19
2014-01-20,3.17,3.18,3.14,3.15,1242900,3.15
2014-01-17,3.20,3.20,3.18,3.18,599300,3.18
2014-01-16,3.18,3.21,3.18,3.20,771200,3.20
2014-01-15,3.15,3.19,3.14,3.18,1786200,3.18
2014-01-13,3.19,3.20,3.17,3.17,1070700,3.17
2014-01-10,3.19,3.20,3.16,3.18,1556300,3.18
2014-01-09,3.19,3.24,3.18,3.21,1554100,3.21
2014-01-08,3.24,3.24,3.17,3.18,1779200,3.18
2014-01-07,3.17,3.21,3.15,3.21,1163400,3.21
2014-01-06,3.18,3.19,3.13,3.13,837000,3.13
2014-01-03,3.13,3.17,3.12,3.16,1479600,3.16
2014-01-02,3.15,3.16,3.12,3.12,1508500,3.12
2014-01-01,3.13,3.13,3.13,3.13,000,3.13
2013-12-31,3.14,3.17,3.12,3.13,1016200,3.13
2013-12-30,3.13,3.16,3.11,3.13,1044500,3.13
2013-12-27,3.21,3.21,3.09,3.10,1186300,3.10
2013-12-26,3.15,3.15,3.15,3.15,000,3.15
2013-12-25,3.15,3.15,3.15,3.15,000,3.15
2013-12-24,3.21,3.21,3.09,3.15,1064000,3.15
2013-12-23,3.16,3.18,3.08,3.16,1618100,3.16
2013-12-20,3.11,3.20,3.11,3.17,3853900,3.08
2013-12-19,3.07,3.12,3.05,3.12,2843300,3.03
2013-12-18,3.07,3.07,3.04,3.05,2594900,2.96
2013-12-17,3.04,3.08,3.03,3.07,2587500,2.98
2013-12-16,3.00,3.07,2.98,3.04,1600000,2.95
2013-12-13,2.95,3.04,2.95,3.02,2452700,2.93
2013-12-12,3.00,3.03,2.94,2.97,2842000,2.88
2013-12-11,2.97,3.04,2.97,3.01,1925100,2.92
2013-12-10,3.03,3.07,2.97,2.97,3062600,2.88
2013-12-09,3.07,3.08,3.03,3.03,2298600,2.94
2013-12-06,3.06,3.07,3.03,3.06,3183600,2.97
2013-12-05,3.04,3.10,3.03,3.10,3955300,3.01
