Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,8.33,8.33,8.33,8.33,000,8.33
2014-01-23,8.20,8.36,8.20,8.36,10000,8.36
2014-01-22,8.19,8.36,8.19,8.20,6700,8.20
2014-01-21,8.20,8.20,8.19,8.19,000,8.19
2014-01-20,8.36,8.36,8.36,8.36,300,8.36
2014-01-17,8.28,8.29,8.28,8.28,500,8.28
2014-01-16,8.50,8.50,8.50,8.50,400,8.50
2014-01-15,8.58,8.58,8.58,8.58,000,8.58
2014-01-13,8.58,8.58,8.58,8.58,000,8.58
2014-01-10,8.60,8.60,8.56,8.58,400,8.58
2014-01-09,8.60,8.65,8.60,8.61,2000,8.61
2014-01-08,8.58,8.60,8.55,8.60,7400,8.60
2014-01-07,8.60,8.60,8.50,8.58,1800,8.58
2014-01-06,8.60,8.60,8.49,8.49,500,8.49
2014-01-03,8.60,8.60,8.60,8.60,000,8.60
2014-01-02,8.33,8.60,8.33,8.60,7000,8.60
2014-01-01,8.44,8.44,8.44,8.44,000,8.44
2013-12-31,8.44,8.44,8.44,8.44,000,8.44
2013-12-30,8.44,8.44,8.44,8.44,000,8.44
2013-12-27,8.22,8.44,8.22,8.44,600,8.44
2013-12-26,8.22,8.22,8.22,8.22,000,8.22
2013-12-25,8.22,8.22,8.22,8.22,000,8.22
2013-12-24,8.22,8.22,8.22,8.22,000,8.22
2013-12-23,8.11,8.22,8.00,8.22,1100,8.22
2013-12-20,8.22,8.22,8.22,8.22,800,8.22
2013-12-19,8.10,8.22,8.10,8.22,000,8.22
2013-12-18,8.22,8.22,8.22,8.22,1100,8.22
2013-12-17,8.25,8.25,8.25,8.25,200,8.25
2013-12-16,8.24,8.25,8.24,8.25,900,8.25
2013-12-13,8.00,8.00,7.90,7.90,13500,7.90
2013-12-12,8.00,8.25,8.00,8.00,16200,8.00
2013-12-11,8.00,8.25,7.90,8.25,15200,8.25
2013-12-10,8.25,8.45,8.25,8.25,2700,8.25
2013-12-09,8.01,8.40,8.01,8.40,1400,8.40
2013-12-06,8.35,8.48,8.00,8.00,5900,8.00
2013-12-05,8.39,8.60,8.39,8.50,3800,8.50
2013-12-04,8.34,8.39,8.14,8.35,4700,8.35
2013-12-03,8.00,8.14,8.00,8.14,22800,8.14
2013-12-02,8.00,8.01,8.00,8.00,6700,8.00
2013-11-29,8.00,8.05,8.00,8.05,27200,8.05
2013-11-28,8.00,8.14,8.00,8.10,18900,8.10
2013-11-27,8.00,8.01,8.00,8.00,34600,8.00
2013-11-26,8.00,8.33,7.99,8.00,20100,8.00
2013-11-25,8.35,8.35,8.00,8.00,9700,8.00
2013-11-22,8.20,8.35,8.00,8.35,6600,8.35
2013-11-21,8.01,8.02,8.00,8.00,5800,8.00
2013-11-20,8.20,8.38,8.20,8.38,1600,8.38
2013-11-19,8.38,8.39,8.26,8.26,5000,8.26
2013-11-18,8.45,8.45,8.30,8.39,1900,8.39
2013-11-15,8.35,8.45,8.30,8.45,2100,8.45
2013-11-14,8.45,8.45,8.45,8.45,000,8.45
2013-11-13,8.35,8.45,8.35,8.45,9300,8.45
