Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,34.33,34.47,33.91,34.16,4576600,34.16
2014-01-22,34.00,34.29,33.92,34.29,3711600,34.29
2014-01-21,33.50,34.04,33.49,33.99,2357200,33.99
2014-01-20,33.53,33.77,33.28,33.64,2990900,33.64
2014-01-17,33.80,33.89,33.62,33.74,3820500,33.74
2014-01-16,34.04,34.09,33.72,34.09,4216400,34.09
2014-01-15,33.87,33.95,33.57,33.83,2877500,33.83
2014-01-13,34.60,34.62,34.16,34.24,2574200,34.24
2014-01-10,34.48,34.71,34.38,34.57,2174600,34.57
2014-01-09,34.40,34.50,34.22,34.45,2077300,34.45
2014-01-08,34.72,34.75,34.32,34.40,2026700,34.40
2014-01-07,34.67,34.77,34.37,34.50,2584500,34.50
2014-01-06,34.70,34.82,34.40,34.55,1910200,34.55
2014-01-03,34.55,34.71,34.50,34.69,1647500,34.69
2014-01-02,34.85,35.00,34.65,34.83,1355900,34.83
2014-01-01,34.83,34.83,34.83,34.83,000,34.83
2013-12-31,34.67,34.90,34.60,34.83,1030600,34.83
2013-12-30,34.85,34.88,34.60,34.84,1393300,34.84
2013-12-27,34.99,34.99,34.66,34.70,1506700,34.70
2013-12-26,34.78,34.78,34.78,34.78,000,34.78
2013-12-25,34.78,34.78,34.78,34.78,000,34.78
2013-12-24,34.72,34.86,34.62,34.78,2173700,34.78
2013-12-23,34.49,34.62,34.35,34.62,2577600,34.62
2013-12-20,34.12,34.37,33.91,34.26,15348400,34.26
2013-12-19,33.80,34.03,33.53,34.03,7472900,34.03
2013-12-18,33.50,33.65,33.41,33.41,5562400,33.41
2013-12-17,33.50,33.69,33.15,33.40,4686400,33.40
2013-12-16,33.03,33.51,32.80,33.20,3528100,33.20
2013-12-13,32.80,33.35,32.79,33.35,5871700,33.35
2013-12-12,33.08,33.08,32.53,33.04,8339900,33.04
2013-12-11,33.08,33.30,32.87,32.87,3196700,32.87
2013-12-10,33.21,33.67,33.16,33.17,4151800,33.17
2013-12-09,33.67,33.70,32.92,33.17,5372100,33.17
2013-12-06,33.47,33.56,32.90,33.47,5302200,33.47
2013-12-05,34.20,34.29,33.66,33.66,6358000,33.66
2013-12-04,34.00,34.62,33.97,34.38,4930200,34.38
2013-12-03,34.35,34.53,34.18,34.19,3660400,34.19
2013-12-02,34.77,34.85,34.24,34.31,3920300,34.31
2013-11-29,34.50,34.74,34.32,34.58,8406100,34.58
2013-11-28,34.60,34.87,34.51,34.54,5123300,34.54
2013-11-27,34.49,34.78,34.42,34.49,6224800,34.49
2013-11-26,34.17,34.57,34.03,34.40,5836300,34.40
2013-11-25,34.11,34.17,33.95,34.10,6037600,34.10
2013-11-22,33.93,34.15,33.87,33.92,5542700,33.92
2013-11-21,33.69,33.91,33.52,33.70,4407100,33.70
2013-11-20,33.98,34.27,33.79,33.80,4423100,33.80
2013-11-19,34.12,34.45,34.07,34.07,4839900,34.07
2013-11-18,34.21,34.47,33.91,34.36,4874400,34.36
2013-11-15,33.60,34.39,33.54,34.30,4407900,34.30
2013-11-14,33.65,34.17,33.60,33.78,5545300,33.78
2013-11-13,34.40,34.40,33.51,33.65,6786800,33.65
2013-11-12,34.79,34.85,34.14,34.50,4519200,34.50
2013-11-11,34.88,35.00,34.32,34.56,3732200,34.56
2013-11-08,34.52,34.86,34.40,34.78,4066000,34.78
2013-11-07,34.82,34.87,34.46,34.68,18754400,34.68
2013-11-06,35.52,35.89,35.41,35.89,6552800,34.92
2013-11-05,35.64,35.80,35.54,35.80,3632900,34.83
2013-11-04,35.75,35.85,35.35,35.43,3865300,34.47
2013-11-01,35.40,36.54,35.33,35.63,5130200,34.67
2013-10-31,35.01,35.68,34.95,35.31,12507000,34.36
2013-10-30,36.71,36.77,36.20,36.23,7791700,35.25
2013-10-29,36.81,37.07,36.53,36.68,4944700,35.69
2013-10-28,36.47,36.87,36.37,36.68,10051600,35.69
2013-10-25,35.68,36.12,35.64,36.08,12573800,35.10
2013-10-24,35.57,35.81,35.51,35.59,5110500,34.63
2013-10-23,36.20,36.35,35.46,35.47,5045800,34.51
2013-10-22,36.00,36.24,35.95,36.07,3258200,35.10
2013-10-21,36.08,36.43,35.97,35.97,3912400,35.00
2013-10-18,35.86,36.03,35.75,35.98,5984100,35.01
2013-10-17,35.51,35.75,35.36,35.64,6389300,34.68
2013-10-16,34.71,35.31,34.71,35.11,3876300,34.16
2013-10-15,35.08,35.14,34.96,35.01,3359600,34.06
2013-10-14,34.67,34.82,34.51,34.76,2463900,33.82
2013-10-11,34.77,35.00,34.72,34.87,4346900,33.93
2013-10-10,34.34,34.47,34.08,34.17,3622900,33.25
2013-10-09,34.01,34.27,33.94,34.26,2940200,33.33
2013-10-08,34.14,34.34,34.01,34.19,4758400,33.27
