Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,74.99,75.25,74.70,74.74,2371500,74.74
2014-01-23,76.02,76.02,74.94,75.13,2495600,75.13
2014-01-22,76.12,76.20,75.38,75.91,2495500,75.91
2014-01-21,75.10,76.20,74.87,76.10,1785200,76.10
2014-01-20,75.20,75.60,74.82,75.32,2121400,75.32
2014-01-17,75.70,75.73,75.12,75.47,2448700,75.47
2014-01-16,76.21,76.31,75.52,75.80,3877500,75.80
2014-01-15,76.50,76.60,76.01,76.19,2027600,76.19
2014-01-13,77.75,77.84,76.82,77.00,1643200,77.00
2014-01-10,77.85,78.26,77.60,77.60,1452300,77.60
2014-01-09,78.00,78.08,77.55,77.98,1823100,77.98
2014-01-08,78.19,78.50,77.68,77.88,1852600,77.88
2014-01-07,77.52,78.23,77.52,77.72,3271400,77.72
2014-01-06,77.80,77.84,77.46,77.60,1357400,77.60
2014-01-03,77.50,77.59,77.20,77.58,1134800,77.58
2014-01-02,78.09,78.35,77.54,77.84,1297600,77.84
2014-01-01,77.80,77.80,77.80,77.80,000,77.80
2013-12-31,77.69,78.03,77.40,77.80,884100,77.80
2013-12-30,77.52,77.72,77.26,77.67,1657000,77.67
2013-12-27,78.00,78.00,77.10,77.31,1082600,77.31
2013-12-26,77.16,77.16,77.16,77.16,000,77.16
2013-12-25,77.16,77.16,77.16,77.16,000,77.16
2013-12-24,77.05,77.33,76.77,77.16,1201500,77.16
2013-12-23,76.25,76.91,76.20,76.76,2982100,76.76
2013-12-20,75.10,76.00,75.06,75.93,14112300,75.93
2013-12-19,74.20,74.85,74.00,74.85,5164500,74.85
2013-12-18,73.89,74.30,73.68,73.68,3334700,73.68
2013-12-17,74.35,74.66,73.68,73.93,3379000,73.93
2013-12-16,73.84,74.10,73.26,73.63,2275700,73.63
2013-12-13,73.51,74.35,73.46,74.20,3408300,74.20
2013-12-12,74.35,74.43,72.62,73.51,7618300,73.51
2013-12-11,74.91,75.39,74.50,74.50,2281500,74.50
2013-12-10,75.20,75.49,74.88,75.26,2780500,75.26
2013-12-09,76.17,76.20,74.42,74.90,3368900,74.90
2013-12-06,75.40,75.68,74.35,75.17,2530100,75.17
2013-12-05,76.65,76.68,75.50,75.50,3387100,75.50
2013-12-04,76.00,76.90,75.82,76.80,1857000,76.80
2013-12-03,76.52,77.07,76.28,76.55,2273100,76.55
2013-12-02,78.07,78.14,76.61,76.85,2149500,76.85
2013-11-29,78.04,78.05,77.33,77.82,5956100,77.82
2013-11-28,77.31,78.10,77.31,78.02,2839700,78.02
2013-11-27,76.91,77.54,76.67,77.30,2888700,77.30
2013-11-26,76.30,77.19,76.25,76.85,3442500,76.85
2013-11-25,76.92,77.12,76.25,76.27,2553300,76.27
2013-11-22,76.71,77.08,76.34,76.49,2068200,76.49
2013-11-21,76.02,76.68,75.90,76.10,2310300,76.10
2013-11-20,76.76,77.29,76.33,76.72,2189300,76.72
2013-11-19,76.80,77.53,76.55,77.20,2904500,77.20
2013-11-18,77.28,77.72,77.02,77.34,2007200,77.34
2013-11-15,77.35,78.20,76.62,77.79,2208100,77.79
2013-11-14,76.31,77.65,76.27,77.20,2661200,77.20
2013-11-13,77.92,78.08,76.05,76.31,3525700,76.31
2013-11-12,78.63,78.72,77.84,78.09,3036000,78.09
2013-11-11,79.25,79.40,77.81,78.35,2540000,78.35
2013-11-08,78.67,79.88,78.61,79.10,4206300,79.10
2013-11-07,78.18,79.32,78.18,79.32,5152200,79.32
2013-11-06,77.20,78.40,77.10,77.96,4383400,77.96
2013-11-05,76.48,77.03,76.28,77.00,2255500,77.00
2013-11-04,75.92,76.57,75.89,76.10,2075600,76.10
2013-11-01,75.50,76.19,75.50,75.80,1781500,75.80
2013-10-31,76.16,76.48,75.68,76.08,3090200,76.08
2013-10-30,76.95,77.30,76.57,77.01,2432500,77.01
2013-10-29,77.50,77.50,76.48,76.79,2470900,76.79
2013-10-28,76.80,77.45,76.72,77.40,5369300,77.40
2013-10-25,75.91,76.36,75.71,76.28,7218300,76.28
2013-10-24,74.80,75.72,74.73,75.58,3148300,75.58
2013-10-23,74.99,74.99,74.51,74.61,2111500,74.61
2013-10-22,74.56,74.90,74.50,74.76,2089200,74.76
2013-10-21,74.41,74.75,74.39,74.55,2152400,74.55
2013-10-18,73.70,74.20,73.49,74.17,2432400,74.17
2013-10-17,72.95,73.49,72.91,73.43,2276600,73.43
2013-10-16,72.77,73.00,72.54,72.76,2077000,72.76
2013-10-15,73.00,73.41,72.85,73.01,2449400,73.01
2013-10-14,72.07,72.52,71.88,72.52,2158300,72.52
2013-10-11,71.60,72.32,71.57,72.32,2262800,72.32
2013-10-10,71.03,71.10,70.65,70.80,2458900,70.80
2013-10-09,70.90,71.33,70.76,71.02,1618700,71.02
2013-10-08,70.45,71.34,70.36,71.10,3077500,71.10
2013-10-07,71.60,71.63,70.43,70.75,2341400,70.75
2013-10-04,71.16,71.85,71.15,71.76,2359600,71.76
2013-10-03,71.65,72.32,71.53,71.70,2131800,71.70
2013-10-02,71.94,72.14,71.52,71.67,2346500,71.67
2013-10-01,71.31,72.02,71.27,71.35,2529900,71.35
2013-09-30,72.70,72.75,71.21,71.21,3383200,71.21
2013-09-27,73.50,73.64,73.03,73.16,10503300,73.16
2013-09-26,72.61,73.32,72.60,73.21,2538900,73.21
2013-09-25,72.53,73.22,72.45,72.84,2960600,72.84
2013-09-24,73.30,73.30,72.74,72.90,1784700,72.90
2013-09-23,73.49,73.67,73.30,73.51,1948500,73.51
2013-09-20,73.89,74.05,73.50,73.75,3016700,73.75
2013-09-19,74.60,74.60,73.61,73.80,4957300,73.80
2013-09-18,73.59,74.00,73.51,73.98,3089400,73.98
2013-09-17,73.60,73.79,73.24,73.60,3458000,73.60
2013-09-16,74.25,74.29,73.84,74.05,2045400,74.05
2013-09-13,73.97,73.98,73.46,73.82,3114600,73.82
2013-09-12,74.20,74.35,73.82,73.98,3343100,73.98
2013-09-11,74.25,74.45,73.91,74.14,2732800,74.14
2013-09-10,73.70,74.20,73.65,73.90,2793000,73.90
2013-09-09,73.50,73.66,73.02,73.63,2193000,73.63
