Date,Open,High,Low,Close,Volume
8-Jan-14,23.52,23.65,23.52,23.56,55910
7-Jan-14,23.51,23.65,23.51,23.65,52426
6-Jan-14,23.70,23.70,23.50,23.58,46268
3-Jan-14,23.87,23.87,23.58,23.60,53120
2-Jan-14,23.43,23.43,23.26,23.33,49287
31-Dec-13,23.43,23.45,23.36,23.44,65008
30-Dec-13,23.34,23.45,23.28,23.38,29487
27-Dec-13,23.40,23.50,23.26,23.26,64228
26-Dec-13,23.15,23.38,23.15,23.27,40769
24-Dec-13,23.25,23.39,23.22,23.39,30957
23-Dec-13,23.20,23.33,23.20,23.26,65579
20-Dec-13,23.03,23.17,23.03,23.17,50605
19-Dec-13,22.67,22.67,22.48,22.64,95224
18-Dec-13,22.33,22.66,22.27,22.48,61958
17-Dec-13,22.47,22.47,22.23,22.38,50537
16-Dec-13,22.25,22.65,22.23,22.46,96290
13-Dec-13,22.23,22.34,22.09,22.25,48190
12-Dec-13,22.19,22.19,22.06,22.15,61946
11-Dec-13,22.79,22.87,22.50,22.50,97574
10-Dec-13,22.89,22.89,21.72,22.84,82680
9-Dec-13,22.66,22.78,22.65,22.77,50565
6-Dec-13,22.67,22.70,22.59,22.69,41266
5-Dec-13,22.49,22.54,22.31,22.50,60811
4-Dec-13,22.80,22.82,22.63,22.79,63961
3-Dec-13,22.89,23.05,22.76,22.82,99758
2-Dec-13,23.03,23.03,22.91,22.91,52585
29-Nov-13,23.07,23.15,23.00,23.00,24526
27-Nov-13,23.10,23.18,23.05,23.08,40788
26-Nov-13,23.22,23.35,23.18,23.18,179967
25-Nov-13,23.22,23.36,23.14,23.29,37369
22-Nov-13,23.16,23.28,23.11,23.17,91391
21-Nov-13,23.20,23.33,23.20,23.26,50577
20-Nov-13,23.90,23.90,23.54,23.62,33822
19-Nov-13,24.04,24.14,23.94,23.98,27957
18-Nov-13,24.15,24.35,24.01,24.03,47657
15-Nov-13,24.07,24.25,24.07,24.15,17867
14-Nov-13,23.80,23.97,23.80,23.92,84030
13-Nov-13,23.71,23.84,23.65,23.82,146082
12-Nov-13,24.06,24.06,23.75,23.82,60042
11-Nov-13,24.16,24.16,24.05,24.12,32272
8-Nov-13,24.43,24.49,24.27,24.48,51559
7-Nov-13,24.25,24.65,24.12,24.12,28078
6-Nov-13,24.69,24.79,24.56,24.75,44737
5-Nov-13,24.32,24.41,24.28,24.39,45025
4-Nov-13,24.37,24.50,24.37,24.50,78017
1-Nov-13,24.59,24.61,24.24,24.38,90839
31-Oct-13,24.53,24.68,24.48,24.48,114854
